date,p1,p2,p3,p4,composite,country
2011-07-01,50.73579237565778,42.973213526077544,46.723074235851755,67.94588213584548,50.45772819539073,US
2011-10-01,52.333612874641474,40.41710026958124,45.61768552658695,67.74302319617638,49.565733690163746,US
2012-01-01,31.93741021050869,33.06059702315969,44.45823886884601,67.53936608989493,42.58112393539812,US
2012-04-01,31.38294991549605,30.81466315387695,40.435030635762615,66.50927374982071,40.472334495860935,US
2012-07-01,34.141515922132015,32.171017666337036,41.777605311892195,65.45997404539148,41.62455550469571,US
2012-10-01,36.17908327326696,28.167107891743502,43.509367809015444,64.3921760759188,40.85008158420124,US
2013-01-01,18.796916559130825,32.37601025623894,41.96757344310453,63.306673547650675,38.244214971816064,US
2013-04-01,23.31507552246582,29.84915055029321,39.65573225086354,62.86770916230801,37.59769269227327,US
2013-07-01,28.72394569479237,31.06954714697249,40.45129370291933,62.42611160667443,39.21717638746357,US
2013-10-01,43.207052903915134,33.95081059055106,38.64587578189898,61.981942989864464,42.58205183092353,US
2014-01-01,20.029482307194648,32.90208331327652,39.393544337766016,61.53526753544506,37.67706521261623,US
2014-04-01,26.30798131894408,29.438777273840152,42.497840851924295,58.6182725995383,37.913283042521606,US
2014-07-01,29.657364695675334,30.356965353725833,39.1158598959463,55.68025592750587,37.471426972426855,US
2014-10-01,36.02080943274369,30.6539686290011,33.62428625228172,52.740139421859055,36.88715035414137,US
2015-01-01,20.534761249034094,30.222271233336258,25.092697081723017,49.81622553694342,30.92116655929395,US
2015-04-01,28.016485785403233,29.878152563580002,24.471696330401556,49.03194753574589,31.984964144083214,US
2015-07-01,36.31222449009771,32.68324837737531,24.022301402024954,48.248548480789346,34.35686687676501,US
2015-10-01,39.083857174294025,35.84669388414491,24.228273561301243,47.46640349000997,35.91346338263683,US
2016-01-01,29.62652455811718,37.20701843279167,26.884089264311243,46.68588644472614,35.00596096812356,US
2016-04-01,37.334718395895905,38.22933411831355,27.377068886542386,46.52770805273994,36.99701945277251,US
2016-07-01,46.58875877649098,39.392074494924536,27.447741711304417,46.36941331665887,39.24079591967966,US
2016-10-01,52.40819366504881,42.371885947136334,31.7693684192175,46.21101219543765,42.49634335839938,US
2017-01-01,36.13469416867764,40.842086458548366,37.57636121534031,46.05251466729601,40.12626233152174,US
2017-04-01,44.22215890015825,42.72495994558918,32.88332440388365,43.84591090623803,40.78818104320638,US
2017-07-01,51.74246288914549,45.191558203741394,33.327655599898506,41.643382193254865,42.826128287764185,US
2017-10-01,61.00718211079901,46.47213831745862,34.97245670775855,39.45890640544012,45.10158029129798,US
2018-01-01,37.44288287684077,44.452210432097516,37.43926305372473,37.30582792111271,39.86783157425601,US
2018-04-01,42.56373693437067,44.76830122803065,42.19531579141733,34.987361463690306,41.72795405727725,US
2018-07-01,49.43210340296311,46.458133655023715,43.495035685983865,32.73638358870025,43.56780309908693,US
2018-10-01,53.439444380716566,48.66628872647328,42.27478202284913,30.563129395426486,44.40241131520654,US
2019-01-01,36.57192640863464,46.78022150995534,39.0180150484844,28.475992747708503,39.1371651218741,US
2019-04-01,42.98953902281257,50.338851621862204,40.798772911871495,24.208986996799307,41.25799649954202,US
2019-07-01,51.427830272736585,51.749203642057125,40.806844660067654,20.437308163408446,42.68696012696591,US
2019-10-01,58.96360464991986,54.145999353627715,42.92606143201892,17.159766625084274,44.907289386775254,US
2020-01-01,71.69859816199185,52.53549138963943,43.19332113116418,14.345473800764228,46.394566661716055,US
2020-04-01,71.22297198336392,21.532696332765063,31.862678962218425,13.024422941091252,32.35159244191341,US
2020-07-01,78.76737106462659,27.335747519008308,35.68710027304054,11.812577772431368,36.605276467324636,US
2020-10-01,85.27890915900858,33.966267573374544,35.13215659351006,10.702829324536747,42.507035075271965,US
2021-01-01,38.79493843292088,15.54455571833773,38.95751599931467,9.688086077424451,24.87657840331594,US
2021-04-01,62.07713130819933,26.95207334202744,58.14117062353441,14.182656219106356,39.220475831054344,US
2021-07-01,73.25625289681965,30.641114163483834,62.327106649981914,20.418810206491266,45.041179240377,US
2021-10-01,82.52708194906994,35.282337514393404,70.8887399032714,28.662599437970076,53.57248035779851,US
